Forecast_Id,Confirmed_Cases,Fatalities
1,7,0
2,7,0
3,11,0
4,16,0
5,21,0
6,22,0
7,22,0
8,22,0
9,24,0
10,24,0
11,40,1
12,40,1
13,74,1
14,74,1
15,74,1
16,74,1
17,74,1
18,74,1
19,74,1
20,74,1
21,74,1
22,74,1
23,74,1
24,74,1
25,74,1
26,74,1
27,74,1
28,23,1
29,33,1
30,38,1
31,42,1
32,51,1
33,55,1
34,59,2
35,64,2
36,70,2
37,76,2
38,89,2
39,104,4
40,123,5
41,123,5
42,123,5
43,123,5
44,123,5
45,123,5
46,123,5
47,123,5
48,123,5
49,123,5
50,123,5
51,123,5
52,123,5
53,123,5
54,123,5
55,24,1
56,26,2
57,37,3
58,48,4
59,54,4
60,60,4
61,74,7
62,87,9
63,90,11
64,139,15
65,201,17
66,230,17
67,264,19
68,264,19
69,264,19
70,264,19
71,264,19
72,264,19
73,264,19
74,264,19
75,264,19
76,264,19
77,264,19
78,264,19
79,264,19
80,264,19
81,264,19
82,1,0
83,1,0
84,1,0
85,1,0
86,2,0
87,39,0
88,39,0
89,53,0
90,75,0
91,88,0
92,113,1
93,133,1
94,164,1
95,164,1
96,164,1
97,164,1
98,164,1
99,164,1
100,164,1
101,164,1
102,164,1
103,164,1
104,164,1
105,164,1
106,164,1
107,164,1
108,164,1
109,0,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,3,0
121,3,0
122,3,0
123,3,0
124,3,0
125,3,0
126,3,0
127,3,0
128,3,0
129,3,0
130,3,0
131,3,0
132,3,0
133,3,0
134,3,0
135,3,0
136,19,1
137,31,2
138,34,2
139,45,2
140,56,2
141,68,2
142,79,2
143,97,3
144,128,3
145,158,4
146,225,4
147,266,4
148,387,6
149,387,6
150,387,6
151,387,6
152,387,6
153,387,6
154,387,6
155,387,6
156,387,6
157,387,6
158,387,6
159,387,6
160,387,6
161,387,6
162,387,6
163,4,0
164,8,0
165,18,0
166,26,0
167,52,0
168,78,0
169,84,0
170,115,0
