Forecast_Id,Confirmed_Cases,Fatalities
1,7,0
2,7,0
3,11,0
4,16,0
5,21,0
6,22,0
7,22,0
8,22,0
9,24,0
10,24,0
11,40,1
12,40,1
13,74,1
14,84,2
15,94,4
16,110,4
17,110,4
18,120,4
19,170,4
20,174,4
21,237,4
22,273,6
23,281,6
24,299,7
25,349,7
26,367,11
27,423,14
28,23,1
29,33,1
30,38,1
31,42,1
32,51,1
33,55,1
34,59,2
35,64,2
36,70,2
37,76,2
38,89,2
39,104,4
40,123,5
41,146,5
42,174,6
43,186,8
44,197,10
45,212,10
46,223,11
47,243,15
48,259,15
49,277,16
50,304,17
51,333,20
52,361,20
53,377,21
54,383,22
55,24,1
56,26,2
57,37,3
58,48,4
59,54,4
60,60,4
61,74,7
62,87,9
63,90,11
64,139,15
65,201,17
66,230,17
67,264,19
68,302,21
69,367,25
70,409,26
71,454,29
72,511,31
73,584,35
74,716,44
75,847,58
76,986,86
77,1171,105
78,1251,130
79,1320,152
80,1423,173
81,1468,193
82,1,0
83,1,0
84,1,0
85,1,0
86,2,0
87,39,0
88,39,0
89,53,0
90,75,0
91,88,0
92,113,1
93,133,1
94,164,1
95,188,1
96,224,3
97,267,3
98,308,3
99,334,6
100,370,8
101,376,12
102,390,14
103,428,15
104,439,16
105,466,17
106,501,18
107,525,21
108,545,22
109,0,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,3,0
121,3,0
122,3,0
123,7,0
124,7,0
125,7,0
126,7,0
127,7,0
128,7,0
129,7,0
130,9,0
131,15,0
132,15,0
133,15,0
134,15,0
135,19,1
136,19,1
137,31,2
138,34,2
139,45,2
140,56,2
141,68,2
142,79,2
143,97,3
144,128,3
145,158,4
146,266,4
147,301,4
148,387,6
149,387,8
150,502,9
151,589,13
152,690,18
153,745,19
154,820,23
155,1054,27
156,1054,28
157,1133,36
158,1265,39
159,1451,43
160,1451,44
161,1554,48
162,1628,56
163,4,0
164,8,0
165,18,0
166,26,0
167,52,0
168,78,0
