Id,Province_State,Country_Region,Lat,Long,Date,Confirmed_Cases,Fatalities
1,,Afghanistan,33,65,1/22/2020,0,0
2,,Afghanistan,33,65,1/23/2020,0,0
3,,Afghanistan,33,65,1/24/2020,0,0
4,,Afghanistan,33,65,1/25/2020,0,0
5,,Afghanistan,33,65,1/26/2020,0,0
6,,Afghanistan,33,65,1/27/2020,0,0
7,,Afghanistan,33,65,1/28/2020,0,0
8,,Afghanistan,33,65,1/29/2020,0,0
9,,Afghanistan,33,65,1/30/2020,0,0
10,,Afghanistan,33,65,1/31/2020,0,0
11,,Afghanistan,33,65,2/1/2020,0,0
12,,Afghanistan,33,65,2/2/2020,0,0
13,,Afghanistan,33,65,2/3/2020,0,0
14,,Afghanistan,33,65,2/4/2020,0,0
15,,Afghanistan,33,65,2/5/2020,0,0
16,,Afghanistan,33,65,2/6/2020,0,0
17,,Afghanistan,33,65,2/7/2020,0,0
18,,Afghanistan,33,65,2/8/2020,0,0
19,,Afghanistan,33,65,2/9/2020,0,0
20,,Afghanistan,33,65,2/10/2020,0,0
21,,Afghanistan,33,65,2/11/2020,0,0
22,,Afghanistan,33,65,2/12/2020,0,0
23,,Afghanistan,33,65,2/13/2020,0,0
24,,Afghanistan,33,65,2/14/2020,0,0
25,,Afghanistan,33,65,2/15/2020,0,0
26,,Afghanistan,33,65,2/16/2020,0,0
27,,Afghanistan,33,65,2/17/2020,0,0
28,,Afghanistan,33,65,2/18/2020,0,0
29,,Afghanistan,33,65,2/19/2020,0,0
30,,Afghanistan,33,65,2/20/2020,0,0
31,,Afghanistan,33,65,2/21/2020,0,0
32,,Afghanistan,33,65,2/22/2020,0,0
33,,Afghanistan,33,65,2/23/2020,0,0
34,,Afghanistan,33,65,2/24/2020,1,0
35,,Afghanistan,33,65,2/25/2020,1,0
36,,Afghanistan,33,65,2/26/2020,1,0
37,,Afghanistan,33,65,2/27/2020,1,0
38,,Afghanistan,33,65,2/28/2020,1,0
39,,Afghanistan,33,65,2/29/2020,1,0
40,,Afghanistan,33,65,3/1/2020,1,0
41,,Afghanistan,33,65,3/2/2020,1,0
42,,Afghanistan,33,65,3/3/2020,1,0
43,,Afghanistan,33,65,3/4/2020,1,0
44,,Afghanistan,33,65,3/5/2020,1,0
45,,Afghanistan,33,65,3/6/2020,1,0
46,,Afghanistan,33,65,3/7/2020,1,0
47,,Afghanistan,33,65,3/8/2020,4,0
48,,Afghanistan,33,65,3/9/2020,4,0
49,,Afghanistan,33,65,3/10/2020,5,0
50,,Afghanistan,33,65,3/11/2020,7,0
51,,Afghanistan,33,65,3/12/2020,7,0
52,,Afghanistan,33,65,3/13/2020,7,0
53,,Afghanistan,33,65,3/14/2020,11,0
54,,Afghanistan,33,65,3/15/2020,16,0
55,,Afghanistan,33,65,3/16/2020,21,0
56,,Afghanistan,33,65,3/17/2020,22,0
57,,Afghanistan,33,65,3/18/2020,22,0
58,,Afghanistan,33,65,3/19/2020,22,0
59,,Afghanistan,33,65,3/20/2020,24,0
60,,Afghanistan,33,65,3/21/2020,24,0
61,,Afghanistan,33,65,3/22/2020,40,1
62,,Afghanistan,33,65,3/23/2020,40,1
63,,Afghanistan,33,65,3/24/2020,74,1
64,,Afghanistan,33,65,3/25/2020,84,2
65,,Afghanistan,33,65,3/26/2020,94,4
66,,Afghanistan,33,65,3/27/2020,110,4
67,,Afghanistan,33,65,3/28/2020,110,4
68,,Afghanistan,33,65,3/29/2020,120,4
69,,Afghanistan,33,65,3/30/2020,170,4
70,,Afghanistan,33,65,3/31/2020,174,4
101,,Albania,41.1533,20.1683,1/22/2020,0,0
102,,Albania,41.1533,20.1683,1/23/2020,0,0
103,,Albania,41.1533,20.1683,1/24/2020,0,0
104,,Albania,41.1533,20.1683,1/25/2020,0,0
105,,Albania,41.1533,20.1683,1/26/2020,0,0
106,,Albania,41.1533,20.1683,1/27/2020,0,0
107,,Albania,41.1533,20.1683,1/28/2020,0,0
108,,Albania,41.1533,20.1683,1/29/2020,0,0
109,,Albania,41.1533,20.1683,1/30/2020,0,0
110,,Albania,41.1533,20.1683,1/31/2020,0,0
111,,Albania,41.1533,20.1683,2/1/2020,0,0
112,,Albania,41.1533,20.1683,2/2/2020,0,0
113,,Albania,41.1533,20.1683,2/3/2020,0,0
114,,Albania,41.1533,20.1683,2/4/2020,0,0
115,,Albania,41.1533,20.1683,2/5/2020,0,0
116,,Albania,41.1533,20.1683,2/6/2020,0,0
117,,Albania,41.1533,20.1683,2/7/2020,0,0
118,,Albania,41.1533,20.1683,2/8/2020,0,0
119,,Albania,41.1533,20.1683,2/9/2020,0,0
120,,Albania,41.1533,20.1683,2/10/2020,0,0
121,,Albania,41.1533,20.1683,2/11/2020,0,0
122,,Albania,41.1533,20.1683,2/12/2020,0,0
123,,Albania,41.1533,20.1683,2/13/2020,0,0
124,,Albania,41.1533,20.1683,2/14/2020,0,0
125,,Albania,41.1533,20.1683,2/15/2020,0,0
126,,Albania,41.1533,20.1683,2/16/2020,0,0
127,,Albania,41.1533,20.1683,2/17/2020,0,0
128,,Albania,41.1533,20.1683,2/18/2020,0,0
129,,Albania,41.1533,20.1683,2/19/2020,0,0
130,,Albania,41.1533,20.1683,2/20/2020,0,0
131,,Albania,41.1533,20.1683,2/21/2020,0,0
132,,Albania,41.1533,20.1683,2/22/2020,0,0
133,,Albania,41.1533,20.1683,2/23/2020,0,0
134,,Albania,41.1533,20.1683,2/24/2020,0,0
135,,Albania,41.1533,20.1683,2/25/2020,0,0
136,,Albania,41.1533,20.1683,2/26/2020,0,0
137,,Albania,41.1533,20.1683,2/27/2020,0,0
138,,Albania,41.1533,20.1683,2/28/2020,0,0
139,,Albania,41.1533,20.1683,2/29/2020,0,0
140,,Albania,41.1533,20.1683,3/1/2020,0,0
141,,Albania,41.1533,20.1683,3/2/2020,0,0
142,,Albania,41.1533,20.1683,3/3/2020,0,0
143,,Albania,41.1533,20.1683,3/4/2020,0,0
144,,Albania,41.1533,20.1683,3/5/2020,0,0
145,,Albania,41.1533,20.1683,3/6/2020,0,0
146,,Albania,41.1533,20.1683,3/7/2020,0,0
147,,Albania,41.1533,20.1683,3/8/2020,0,0
148,,Albania,41.1533,20.1683,3/9/2020,2,0
149,,Albania,41.1533,20.1683,3/10/2020,10,0
150,,Albania,41.1533,20.1683,3/11/2020,12,1
151,,Albania,41.1533,20.1683,3/12/2020,23,1
152,,Albania,41.1533,20.1683,3/13/2020,33,1
153,,Albania,41.1533,20.1683,3/14/2020,38,1
154,,Albania,41.1533,20.1683,3/15/2020,42,1
155,,Albania,41.1533,20.1683,3/16/2020,51,1
156,,Albania,41.1533,20.1683,3/17/2020,55,1
157,,Albania,41.1533,20.1683,3/18/2020,59,2
158,,Albania,41.1533,20.1683,3/19/2020,64,2
159,,Albania,41.1533,20.1683,3/20/2020,70,2
160,,Albania,41.1533,20.1683,3/21/2020,76,2
161,,Albania,41.1533,20.1683,3/22/2020,89,2
162,,Albania,41.1533,20.1683,3/23/2020,104,4
163,,Albania,41.1533,20.1683,3/24/2020,123,5
164,,Albania,41.1533,20.1683,3/25/2020,146,5
165,,Albania,41.1533,20.1683,3/26/2020,174,6
166,,Albania,41.1533,20.1683,3/27/2020,186,8
167,,Albania,41.1533,20.1683,3/28/2020,197,10
