Id,Province_State,Country_Region,Lat,Long,Date,Confirmed_Cases,Fatalities
1,,Afghanistan,33,65,3/12/2020,7,0
2,,Afghanistan,33,65,3/13/2020,7,0
3,,Afghanistan,33,65,3/14/2020,11,0
4,,Afghanistan,33,65,3/15/2020,16,0
5,,Afghanistan,33,65,3/16/2020,21,0
6,,Afghanistan,33,65,3/17/2020,22,0
7,,Afghanistan,33,65,3/18/2020,22,0
8,,Afghanistan,33,65,3/19/2020,22,0
9,,Afghanistan,33,65,3/20/2020,24,0
10,,Afghanistan,33,65,3/21/2020,24,0
11,,Afghanistan,33,65,3/22/2020,40,1
12,,Afghanistan,33,65,3/23/2020,40,1
13,,Afghanistan,33,65,3/24/2020,74,1
14,,Afghanistan,33,65,3/25/2020,84,2
15,,Afghanistan,33,65,3/26/2020,94,4
16,,Afghanistan,33,65,3/27/2020,110,4
17,,Afghanistan,33,65,3/28/2020,110,4
18,,Afghanistan,33,65,3/29/2020,120,4
19,,Afghanistan,33,65,3/30/2020,170,4
20,,Afghanistan,33,65,3/31/2020,174,4
21,,Afghanistan,33,65,4/1/2020,237,4
22,,Afghanistan,33,65,4/2/2020,273,6
23,,Afghanistan,33,65,4/3/2020,281,6
24,,Afghanistan,33,65,4/4/2020,299,7
25,,Afghanistan,33,65,4/5/2020,349,7
26,,Afghanistan,33,65,4/6/2020,367,11
27,,Afghanistan,33,65,4/7/2020,423,14
28,,Albania,41.1533,20.1683,3/12/2020,23,1
29,,Albania,41.1533,20.1683,3/13/2020,33,1
30,,Albania,41.1533,20.1683,3/14/2020,38,1
31,,Albania,41.1533,20.1683,3/15/2020,42,1
32,,Albania,41.1533,20.1683,3/16/2020,51,1
33,,Albania,41.1533,20.1683,3/17/2020,55,1
34,,Albania,41.1533,20.1683,3/18/2020,59,2
35,,Albania,41.1533,20.1683,3/19/2020,64,2
36,,Albania,41.1533,20.1683,3/20/2020,70,2
37,,Albania,41.1533,20.1683,3/21/2020,76,2
38,,Albania,41.1533,20.1683,3/22/2020,89,2
39,,Albania,41.1533,20.1683,3/23/2020,104,4
40,,Albania,41.1533,20.1683,3/24/2020,123,5
41,,Albania,41.1533,20.1683,3/25/2020,146,5
42,,Albania,41.1533,20.1683,3/26/2020,174,6
43,,Albania,41.1533,20.1683,3/27/2020,186,8
44,,Albania,41.1533,20.1683,3/28/2020,197,10
45,,Albania,41.1533,20.1683,3/29/2020,212,10
46,,Albania,41.1533,20.1683,3/30/2020,223,11
47,,Albania,41.1533,20.1683,3/31/2020,243,15
48,,Albania,41.1533,20.1683,4/1/2020,259,15
49,,Albania,41.1533,20.1683,4/2/2020,277,16
50,,Albania,41.1533,20.1683,4/3/2020,304,17
51,,Albania,41.1533,20.1683,4/4/2020,333,20
